debt_id	audit_area	baseline_sha	file_path / line_range	finding	impact	evidence / reproduction	category	priority	expected_contract	proposed_fix	regression_test	approval_required / reason	implementation_commit	verification_evidence	status	reviewer / reviewed_at	limitations
TD-009	Accessibility	f665086	app/components/map/SpotDetailCard.vue	Custom DialogTitle id overrode Reka's generated aria-labelledby target	Screen-reader dialog title contract broke and console warned	Open a Spot detail in real Chromium	defect	P1	DialogContent resolves its generated title id and heading receives focus	Keep generated id; use data attribute for focus	tests/accessibility-source.test.ts	no	2795b04	warning reproduced then absent; focus on generated title	FIXED_VERIFIED	self-review / 2026-09-19	physical VoiceOver/iPhone not run
TD-010	Dependency security	f665086	pnpm-workspace.yaml; pnpm-lock.yaml	Production audit reported GHSA-ggr8-5vv4-36mx high severity through Prisma config	Known uncontrolled recursion advisory	Prisma 7.10.0 is the latest stable 7.x and fixes deepmerge-ts at 7.1.5; patched range starts at 8.0.0	security	P1	No high production advisory	Scope an override to @prisma/config>deepmerge-ts 8.0.2 until an approved stable Prisma line directly includes a patched release	pnpm audit --prod; full compatibility matrix	YES / user approved a narrowly scoped major transitive override, excluding Prisma major/RC and unrelated updates	b2a35f7	production audit clean; final 78/522 tests; Prisma validate/generate; PostgreSQL 17 migrations/audit; typecheck/build/browser/CI/Windows regression	FIXED_VERIFIED	self-review / 2026-09-20	Remove the override when an approved stable Prisma release resolves @prisma/config to deepmerge-ts >=8, after rerunning the same matrix
TD-011	Device verification	f665086	WU-47/WU-48 QA matrix	Physical iPhone Safari and real outside-area GPS event remain unexecuted	Required release gate lacks device evidence	No physical device or real GPS feed available	test	P1	Physical Safari toolbar/gesture and real GPS one-shot behavior verified	Human device UAT	step-by-step Human UAT	YES / physical device and location permission required	-	unit/mock and Chromium only	BLOCKED	user verification pending	Cannot be replaced by responsive Chromium
TD-012	Localization	f665086	WU-44 docs and public mapping	Full public chrome/content translation was raised as a possible gap	Could be mistaken for regression	Compare WU-44 accepted scope with implementation	docs	P2	Preserve agreed map-language and field-label scope	No code change	contract comparison	no	-	WU-44 scope matches code	NOT_A_DEBT	self-review / 2026-09-19	New locale scope would be a product decision
TD-013	MapLibre warning	f665086	WU-47 synthetic second-floor fixture	A fit warning appeared only with the synthetic fixture	Could hide a real geometry issue if generalized	Run real seeded 1448x1086 IMAGE floor in Chromium	performance	P2	Real supported floor renders without fit warning	No product change	browser console	no	-	no fit warning on representative fixture	NOT_A_DEBT	self-review / 2026-09-19	Synthetic fixture warning remains documented
TD-014	Git source governance	e3d58c8	.github/workflows/verify.yml; repository settings	Verify excluded main pushes and main/default governance is not protected	Future authoritative promotion could bypass verification	Workflow trigger, hosted run, and repository-settings boundary	process	P1	Verify runs for eventual authoritative branch; promotion/settings require explicit approval	Fix workflow source and prepare governance checklist	workflow inspection and hosted run	YES / main promotion and repository settings require final approval	d6cc28e	main trigger present; Actions 35459480854 passed	FIXED_VERIFIED_SOURCE / BLOCKED_APPROVAL	self-review / 2026-09-20	No default-branch, ruleset, or protection mutation performed
TD-015	Dependency audit CI	e3d58c8	.github/workflows/verify.yml	Production dependency audit was absent from CI	High production advisory could regress unnoticed	Workflow source review	test	P1	CI blocks high/critical production advisories	Add pnpm audit --prod --audit-level high	local audit and hosted workflow	no	d6cc28e	local/fresh/Windows audit clean; Actions 35459480854 passed	FIXED_VERIFIED	self-review / 2026-09-20	No advisory suppression
TD-016	Public snapshot validation	e3d58c8	server/utils/public-release.ts	Substring scan rejected legitimate values containing private-field words	Valid public text could not be released	Forbidden keys versus values at nested/array positions	security	P0	Forbidden object keys reject recursively; ordinary string values pass	Structural recursive key inspection	tests/public-release.test.ts	no	a1af180	nested/array forbidden-key and allowed-value tests; 522 suite	FIXED_VERIFIED	self-review / 2026-09-20	Forbidden-key set unchanged
TD-017	Public release asset containment	e3d58c8	server/utils/public-release.ts; persisted image schemas	Generic string walker rewrote text and path resolution did not prove upload-root containment	Outside-root file disclosure into immutable public release	Fake inside/outside assets, traversal variants, text values and all typed fields	security	P0	Only known asset fields rewrite and every source is validated inside upload root	Typed PublicMap asset rewriting and shared strict upload parser	tests/public-release.test.ts	no	a1af180	typed field/dedup tests; traversal/backslash/encoded/outside-root rejection; full matrix	FIXED_VERIFIED	self-review / 2026-09-20	No real private files used in proof
TD-018	Browser interaction regression	e3d58c8	tests; public/admin UI	High-risk interaction contracts relied partly on source-string/manual smoke	UI regressions could pass unit gates	Component/browser interaction coverage review	test	P1	Automated interaction tests cover public overlays, admin delayed saves and geolocation lifecycle	Add happy-dom timer/state interaction coverage plus browser regression	component interaction suite and browser smoke	no	33ac175	522 tests plus local/final Windows browser regression	FIXED_VERIFIED	self-review / 2026-09-20	Physical iPhone remains TD-011
TD-019	Public overlay state	e3d58c8	app/pages/[mapSlug]/index.vue	Spot/Floor/Info were independent refs coordinated by handlers	Impossible combinations remained representable	Behavioral transition tests	architecture	P1	Exactly one overlay is active and selected Spot derives from it	Exclusive tagged overlay state	behavioral state/component tests	no	7345bba	overlay transitions and 522 suite; browser detail/Info regression	FIXED_VERIFIED	self-review / 2026-09-20	No UI redesign
TD-020	README publication source of truth	e3d58c8	README.md	README described publication primarily as live Map.isPublished state	Future work could bypass immutable release architecture	Documentation comparison	docs	P1	README states current branch, immutable snapshots/storage drivers, restore safety and override removal	Focused source-of-truth update	document review	no	82eecf3	source review and closure-document cross-check	FIXED_VERIFIED	self-review / 2026-09-20	QA history stays in QA documents
TD-021	Admin stale save completion	e3d58c8	app/pages/admin/maps/[mapId]/editor.vue	A late save completion reset whichever editor context was current	A newer Spot/Floor draft could be lost	Delayed A save then switch/create B draft/resolve A	defect	P0	Completion mutates/reset only its originating context	Capture operation context and generation; guard completion effects	component/state tests with delayed promises	no	993f232	delayed position/design/unplace completion tests; 522 suite; browser Cancel regression	FIXED_VERIFIED	self-review / 2026-09-20	Shared completion path covered
